Start (s),End (s),Scientific name,Common name,Confidence,File
45,48,Crinia signifera,Common Eastern Froglet,0.8473,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes dumerilii_Pobblebonk-AUVIC_Wash_Upper_20231020_055400.WAV
51,54,Crinia signifera,Common Eastern Froglet,0.81,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes dumerilii_Pobblebonk-AUVIC_Wash_Upper_20231020_055400.WAV
0,3,Crinia signifera,Common Eastern Froglet,0.5954,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
0,3,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5204,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
3,6,Crinia signifera,Common Eastern Froglet,0.9594,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
6,9,Crinia signifera,Common Eastern Froglet,0.8161,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
9,12,Crinia signifera,Common Eastern Froglet,0.7729,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
12,15,Crinia signifera,Common Eastern Froglet,0.5687,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
12,15,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5158,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
15,18,Crinia signifera,Common Eastern Froglet,0.7585,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
18,21,Crinia signifera,Common Eastern Froglet,0.6404,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
24,27,Crinia signifera,Common Eastern Froglet,0.9475,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
27,30,Crinia signifera,Common Eastern Froglet,0.951,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
30,33,Crinia signifera,Common Eastern Froglet,0.838,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
33,36,Crinia signifera,Common Eastern Froglet,0.9173,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
36,39,Crinia signifera,Common Eastern Froglet,0.632,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
39,42,Crinia signifera,Common Eastern Froglet,0.9553,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
42,45,Crinia signifera,Common Eastern Froglet,0.8459,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
45,48,Crinia signifera,Common Eastern Froglet,0.9151,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
48,51,Crinia signifera,Common Eastern Froglet,0.5032,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
51,54,Crinia signifera,Common Eastern Froglet,0.9258,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
54,57,Crinia signifera,Common Eastern Froglet,0.8363,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231023_205500.WAV
0,3,Crinia signifera,Common Eastern Froglet,0.9932,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231026_055300.WAV
3,6,Crinia signifera,Common Eastern Froglet,0.9745,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231026_055300.WAV
6,9,Crinia signifera,Common Eastern Froglet,0.9839,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231026_055300.WAV
9,12,Crinia signifera,Common Eastern Froglet,0.987,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231026_055300.WAV
12,15,Crinia signifera,Common Eastern Froglet,0.9711,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231026_055300.WAV
30,33,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.7168,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231026_055300.WAV
33,36,Crinia signifera,Common Eastern Froglet,0.8181,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231026_055300.WAV
48,51,Crinia signifera,Common Eastern Froglet,0.5173,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231026_055300.WAV
0,3,Crinia signifera,Common Eastern Froglet,0.9802,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
3,6,Crinia signifera,Common Eastern Froglet,0.9652,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
6,9,Crinia signifera,Common Eastern Froglet,0.9957,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
9,12,Crinia signifera,Common Eastern Froglet,0.9486,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
12,15,Crinia signifera,Common Eastern Froglet,0.9747,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
15,18,Crinia signifera,Common Eastern Froglet,0.8088,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
18,21,Crinia signifera,Common Eastern Froglet,0.988,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
21,24,Crinia signifera,Common Eastern Froglet,0.9629,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
24,27,Crinia signifera,Common Eastern Froglet,0.7223,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
24,27,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.7109,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
27,30,Crinia signifera,Common Eastern Froglet,0.9669,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
30,33,Crinia signifera,Common Eastern Froglet,0.9875,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
33,36,Crinia signifera,Common Eastern Froglet,0.8526,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
36,39,Crinia signifera,Common Eastern Froglet,0.9778,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
39,42,Crinia signifera,Common Eastern Froglet,0.9667,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
42,45,Crinia signifera,Common Eastern Froglet,0.782,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
45,48,Crinia signifera,Common Eastern Froglet,0.9348,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
48,51,Crinia signifera,Common Eastern Froglet,0.9081,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
51,54,Crinia signifera,Common Eastern Froglet,0.983,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
54,57,Crinia signifera,Common Eastern Froglet,0.883,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Limnodynastes tasmaniensis_Spotted Marsh Frog-AUVIC_MtSturgeon_BushBrokerW_20231027_210700.WAV
0,3,Crinia signifera,Common Eastern Froglet,0.9064,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
3,6,Crinia signifera,Common Eastern Froglet,0.8139,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
6,9,Crinia signifera,Common Eastern Froglet,0.9236,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
9,12,Crinia signifera,Common Eastern Froglet,0.785,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
12,15,Crinia signifera,Common Eastern Froglet,0.6282,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
15,18,Crinia signifera,Common Eastern Froglet,0.712,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
18,21,Crinia signifera,Common Eastern Froglet,0.8611,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
21,24,Crinia signifera,Common Eastern Froglet,0.6316,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
24,27,Crinia signifera,Common Eastern Froglet,0.8504,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
27,30,Crinia signifera,Common Eastern Froglet,0.9275,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
30,33,Crinia signifera,Common Eastern Froglet,0.9409,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
33,36,Crinia signifera,Common Eastern Froglet,0.7542,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
36,39,Crinia signifera,Common Eastern Froglet,0.9335,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
39,42,Crinia signifera,Common Eastern Froglet,0.9398,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
42,45,Crinia signifera,Common Eastern Froglet,0.649,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
45,48,Crinia signifera,Common Eastern Froglet,0.897,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
48,51,Crinia signifera,Common Eastern Froglet,0.8891,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
51,54,Crinia signifera,Common Eastern Froglet,0.9378,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
54,57,Crinia signifera,Common Eastern Froglet,0.6712,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_CoreaSouth_Blackwood_20231023_051300.WAV
0,3,Crinia signifera,Common Eastern Froglet,0.9647,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
3,6,Crinia signifera,Common Eastern Froglet,0.8375,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
6,9,Crinia signifera,Common Eastern Froglet,0.9847,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
9,12,Crinia signifera,Common Eastern Froglet,0.5977,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
12,15,Crinia signifera,Common Eastern Froglet,0.9805,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
15,18,Crinia signifera,Common Eastern Froglet,0.9435,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
18,21,Crinia signifera,Common Eastern Froglet,0.9552,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
21,24,Crinia signifera,Common Eastern Froglet,0.9965,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
24,27,Crinia signifera,Common Eastern Froglet,0.835,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
27,30,Crinia signifera,Common Eastern Froglet,0.9996,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
30,33,Crinia signifera,Common Eastern Froglet,0.8866,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
33,36,Crinia signifera,Common Eastern Froglet,0.9546,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
39,42,Crinia signifera,Common Eastern Froglet,0.9861,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
42,45,Crinia signifera,Common Eastern Froglet,0.9998,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
45,48,Crinia signifera,Common Eastern Froglet,0.8346,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
48,51,Crinia signifera,Common Eastern Froglet,0.9983,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
51,54,Crinia signifera,Common Eastern Froglet,0.9999,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
54,57,Crinia signifera,Common Eastern Froglet,0.9904,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231022_205500.WAV
3,6,Crinia signifera,Common Eastern Froglet,0.7714,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
9,12,Crinia signifera,Common Eastern Froglet,0.5705,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
12,15,Crinia signifera,Common Eastern Froglet,0.73,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
18,21,Crinia signifera,Common Eastern Froglet,0.9508,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
21,24,Crinia signifera,Common Eastern Froglet,0.9553,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
24,27,Crinia signifera,Common Eastern Froglet,0.8552,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
27,30,Crinia signifera,Common Eastern Froglet,0.6457,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
30,33,Crinia signifera,Common Eastern Froglet,0.7939,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
33,36,Crinia signifera,Common Eastern Froglet,0.6254,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
36,39,Crinia signifera,Common Eastern Froglet,0.8272,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
39,42,Crinia signifera,Common Eastern Froglet,0.591,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
48,51,Crinia signifera,Common Eastern Froglet,0.7173,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
54,57,Crinia signifera,Common Eastern Froglet,0.8968,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231023_210700.WAV
0,3,Crinia signifera,Common Eastern Froglet,0.576,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
6,9,Crinia signifera,Common Eastern Froglet,0.9512,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
21,24,Crinia signifera,Common Eastern Froglet,0.9729,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
27,30,Crinia signifera,Common Eastern Froglet,0.8852,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
30,33,Litoria verreauxii,Whistling Tree Frog,0.7679,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
33,36,Crinia signifera,Common Eastern Froglet,0.9553,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
36,39,Crinia signifera,Common Eastern Froglet,0.9846,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
42,45,Crinia signifera,Common Eastern Froglet,0.8798,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
45,48,Crinia signifera,Common Eastern Froglet,0.8147,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
51,54,Crinia signifera,Common Eastern Froglet,0.9608,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
54,57,Crinia signifera,Common Eastern Froglet,0.79,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231026_211100.WAV
12,15,Crinia signifera,Common Eastern Froglet,0.9001,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia signifera_Common Eastern Froglet_Litoria ewingii_Brown Tree Frog-AUVIC_Wash_Jacks_20231101_205300.WAV
